n,m,alpha,beta,gamma,block_size_x,block_size_y,copy_time,sec_per_iter,write_time,is_shared_mem,is_block,is_column,is_row
10000,10000,1.000000,0.900000,0.001000,32,32,213.373062,61.452751,0.000000,0,1,0,0
10000,10000,1.000000,0.900000,0.001000,64,64,213.127975,8.394827,0.000000,0,1,0,0
10000,10000,1.000000,0.900000,0.001000,128,128,213.686493,8.390851,0.000000,0,1,0,0
10000,10000,1.000000,0.900000,0.001000,256,256,214.103714,8.389833,0.000000,0,1,0,0
10000,10000,1.000000,0.900000,0.001000,512,512,213.176895,8.389410,0.000000,0,1,0,0
1000,1000,1.000000,0.900000,0.001000,8,1000,3.721856,0.106573,0.000000,0,0,1,0
1000,1000,1.000000,0.900000,0.001000,16,1000,2.737920,0.106311,0.000000,0,0,1,0
1000,1000,1.000000,0.900000,0.001000,32,1000,2.796064,0.106459,0.000000,0,0,1,0
1000,1000,1.000000,0.900000,0.001000,64,1000,2.775488,0.106157,0.000000,0,0,1,0
1000,1000,1.000000,0.900000,0.001000,128,1000,2.811424,0.106822,0.000000,0,0,1,0
1000,1000,1.000000,0.900000,0.001000,256,1000,2.769696,0.107156,0.000000,0,0,1,0
1000,1000,1.000000,0.900000,0.001000,512,1000,2.807136,0.106874,0.000000,0,0,1,0
2000,2000,1.000000,0.900000,0.001000,8,2000,10.055808,0.357354,0.000000,0,0,1,0
2000,2000,1.000000,0.900000,0.001000,16,2000,10.039008,0.357325,0.000000,0,0,1,0
2000,2000,1.000000,0.900000,0.001000,32,2000,10.059776,0.357242,0.000000,0,0,1,0
2000,2000,1.000000,0.900000,0.001000,64,2000,10.021760,0.357230,0.000000,0,0,1,0
2000,2000,1.000000,0.900000,0.001000,128,2000,10.102304,0.357512,0.000000,0,0,1,0
2000,2000,1.000000,0.900000,0.001000,256,2000,10.010944,0.357736,0.000000,0,0,1,0
2000,2000,1.000000,0.900000,0.001000,512,2000,10.504608,0.357721,0.000000,0,0,1,0
3000,3000,1.000000,0.900000,0.001000,8,3000,20.545889,0.777509,0.000000,0,0,1,0
3000,3000,1.000000,0.900000,0.001000,16,3000,20.714848,0.777867,0.000000,0,0,1,0
3000,3000,1.000000,0.900000,0.001000,32,3000,20.534880,0.777320,0.000000,0,0,1,0
